표순번,장비식별자,스티커라벨(장비식별자),Nvidia Serial,장비 용도,위치,업무트래킹,최신업무트래킹일자,장비별최신여부,비고
39,XC #100,XC #100,1420222044748,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 이관(AI기술개발1팀 to 플랫폼설계팀/송홍대),2025-02-21,TRUE,
40,XC #100,XC #100,1420222044748,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 플래시,2025-02-21,,
41,XC #100,XC #100,1420222044748,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 조립(하부케이스),2025-02-21,,
42,XC #100,XC #100,1420222044748,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 조립(상부케이스),2025-02-21,,
43,XC #100,XC #100,1420222044748,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 전원선트리밍,2025-02-21,,
44,XC #100,XC #100,1420222044748,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 전원부글루건,2025-02-21,,
45,XC #100,XC #100,1420222044748,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 스티커라벨링,2025-02-21,,
46,XC #100,XC #100,1420222044748,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 셋팅(후방),2025-02-21,,
47,XC #100,XC #100,1420222044748,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 분해(하부케이스),2025-02-21,,
48,XC #100,XC #100,1420222044748,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 기초테스트,2025-02-21,,
49,XC #100,XAVIER-HS-100,,차량탑재용,평촌/7층/AI기술개발1팀/박정훈,"250131 XC 셋팅(후방) #HDI 컨넥터 상태 약화(힘으로 수직이 아닌 상태로 장착 시 커넥터 파손 위험이 있음, 유의요망, DC배럴잭 사용불가",2025-01-31,,
50,XC #108,XC #108,1420222044765,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 이관(AI기술개발1팀 to 플랫폼설계팀/송홍대),2025-02-21,TRUE,
51,XC #108,XC #108,1420222044765,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 플래시,2025-02-21,,
52,XC #108,XC #108,1420222044765,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 조립(하부케이스),2025-02-21,,
53,XC #108,XC #108,1420222044765,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 조립(상부케이스),2025-02-21,,
54,XC #108,XC #108,1420222044765,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 전원선트리밍,2025-02-21,,
55,XC #108,XC #108,1420222044765,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 전원부글루건,2025-02-21,,
56,XC #108,XC #108,1420222044765,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 스티커라벨링,2025-02-21,,
57,XC #108,XC #108,1420222044765,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 셋팅(후방),2025-02-21,,
58,XC #108,XC #108,1420222044765,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 분해(하부케이스),2025-02-21,,
59,XC #108,XC #108,1420222044765,차량탑재용,평촌/7층/플랫폼설계팀/송홍대,250221 XC 기초테스트,2025-02-21,,
60,XC #108,XAVIER-HS-108,,차량탑재용,평촌/7층/AI기술개발1팀/박정훈,250203 XC 전원부납땜 ,2025-02-03,,
61,XC #108,XAVIER-HS-108,,차량탑재용,평촌/7층/AI기술개발1팀/박정훈,250203 XC 이관(플랫폼설계팀 to AI기술개발1팀),2025-02-03,,
